$ IccApplyNamedCmm MacBeth-Lab.txt 3:6 0 2020_13.003_FOGRA55beta_CL_Profile.icc 41
'7CLR'  ; Data Format
icEncodeFloat   ; Encoding

;Source Data Format: 'Lab '
;Source Data Encoding: icEncodeValue
;Source data is after semicolon

;Profiles applied
; 2020_13.003_FOGRA55beta_CL_Profile.icc

   0.183596    0.464444    0.461729    0.612490    0.156903    0.000000    0.000000     ;   38.358002   13.802000   14.646000
   0.070804    0.334971    0.321802    0.215606    0.103107    0.000000    0.000000     ;   66.056000   17.737000   17.848000
   0.572088    0.229346    0.081708    0.282044    0.000000    0.000000    0.168260     ;   50.090000   -4.407000  -22.510000
   0.314566    0.145687    0.661941    0.582879    0.000000    0.234362    0.000000     ;   43.203999  -13.464000   21.730000
   0.375515    0.259934    0.034849    0.107161    0.000000    0.000000    0.308200     ;   55.355999    8.891000  -24.820000
   0.397575    0.010047    0.223682    0.031140    0.000000    0.317066    0.000000     ;   70.699997  -32.891998   -0.240000
