$ IccApplyNamedCmm MacBeth-Lab.txt 3:6 0 Coated_Fogra39L_VIGC_300.icc 41
'CMYK'  ; Data Format
icEncodeFloat   ; Encoding

;Source Data Format: 'Lab '
;Source Data Encoding: icEncodeValue
;Source data is after semicolon

;Profiles applied
; Coated_Fogra39L_VIGC_300.icc

   0.214380    0.515461    0.538744    0.566424         ;   38.358002   13.802000   14.646000
   0.124987    0.414934    0.419734    0.153140         ;   66.056000   17.737000   17.848000
   0.619272    0.353912    0.108622    0.254668         ;   50.090000   -4.407000  -22.510000
   0.491342    0.162242    0.705859    0.529225         ;   43.203999  -13.464000   21.730000
   0.512904    0.460825    0.035273    0.117966         ;   55.355999    8.891000  -24.820000
   0.622900    0.000000    0.402187    0.000000         ;   70.699997  -32.891998   -0.240000
