# cp [..cp] ; SVOsimple ; MVOsimple
0000..001F ; U ; R
0020 ; R ; R # Probably better to stack upright like letters, allow font to set vertical metrics.
0021 ; U ; R
0022 ; U ; R # Needs different position within bounding box, and/or different advance width (esp. when used as open-quote).
0023..0026 ; U ; R
0027 ; U ; R # Needs different position within bounding box and/or different advance width.
0028..0029 ; R ; R # Brackets are sideways to enclose their text
002A..002B ; U ; R
002C ; U ; R # Needs different position within bounding box and/or different advance width.
002D ; R ; R # Hyphens are upright :?: UTR#50 has hyphens sideways
002E ; U ; R # Needs different position within bounding box and/or different advance width.
002F..003B ; U ; R
003C..003E ; U ; R # :?: Relational operator
003F..005A ; U ; R
005B ; R ; R # Brackets are sideways to enclose their text
005C ; U ; R
005D ; R ; R # Brackets are sideways to enclose their text
005E ; U ; R
005F ; R ; R # Match double low line, overline
0060..007A ; U ; R
007B ; R ; R # Brackets are sideways to enclose their text
007C ; U ; R
007D ; R ; R # Brackets are sideways to enclose their text
007E..009F ; U ; R
00A0 ; R ; R # Must match U+0020
00A1..00A6 ; U ; R
00A7 ; U ; U # :?:
00A8 ; U ; R
00A9 ; U ; U # Keep COPYRIGHT, REGISTERED, and SOUND RECORDING COPYRIGHT consistent
00AA ; U ; R
00AB ; R ; R # [[http://lists.w3.org/Archives/Public/www-archive/2012Mar/0006.html|Guillemets are sideways to enclose their text]]
00AC..00AD ; U ; R
00AE ; U ; U # Keep COPYRIGHT, REGISTERED, and SOUND RECORDING COPYRIGHT consistent
00AF ; U ; R
00B0 ; U ; R # Degree sign alone is not used much in vertical Japanese, and this works better when labelling ASCII numbers.
00B1..00B5 ; U ; R
00B6 ; U ; U
00B7..00BA ; U ; R
00BB ; R ; R # [[http://lists.w3.org/Archives/Public/www-archive/2012Mar/0006.html|Guillemets are sideways to enclose their text]]
00BC..00BE ; U ; U
00BF..02E9 ; U ; R
02EA..02EB ; U ; U # Bopomofo is upright
02EC..0589 ; U ; R
058A ; R ; R # Hyphens are upright :?: UTR#50 has hyphens sideways
058B..05BD ; U ; R
05BE ; R ; R # :?:
05BF..060E ; U ; R
060F ; U ; R # :?: Arabic
0610..06DD ; U ; R
06DE ; U ; R # :?: Arabic
06DF..06E8 ; U ; R
06E9 ; U ; R # :?: Arabic
06EA..06FC ; U ; R
06FD..06FE ; U ; R # :?: Arabic
06FF..085D ; U ; R
085E ; U ; R # :?: Mandaic
085F..0F00 ; U ; R
0F01..0F03 ; U ; R # :?: Tibetan
0F04..0F12 ; U ; R
0F13 ; U ; R # :?: Tibetan
0F14 ; U ; R
0F15..0F17 ; U ; R # :?: Tibetan
0F18..0F19 ; U ; R
0F1A..0F1F ; U ; R # :?: Tibetan
0F20..0F33 ; U ; R
0F34 ; U ; R # :?: Tibetan
0F35 ; U ; R
0F36 ; U ; R # :?: Tibetan
0F37 ; U ; R
0F38 ; U ; R # :?: Tibetan
0F39 ; U ; R
0F3A..0F3D ; U ; R # :?: Unsure about Tibetan
0F3E..0FBD ; U ; R
0FBE..0FC5 ; U ; R # :?: Tibetan
0FC6 ; U ; R
0FC7..0FCC ; U ; R # :?: Tibetan
0FCD ; U ; R
0FCE..0FCF ; U ; R # :?: Tibetan
0FD0..0FD4 ; U ; R
0FD5..0FD8 ; U ; R # :?: Tibetan
0FD9..10FF ; U ; R
1100..11FF ; U ; U
1200..13FF ; U ; R
1400 ; R ; R # Hyphens are upright
1401..167F ; U ; U
1680 ; R ; R # Ogham is sideways
1681..169A ; R ; R
169B..169C ; R ; R # Ogham is always sideways
169D..169F ; R ; R
16A0..17FF ; U ; R
1800..1805 ; R ; R # Match Mongolian letters
1806 ; R ; R # Mongolian is always sideways
1807..180A ; R ; R # Match Mongolian letters
180B..180D ; R ; R
180E ; R ; R # Mongolian is sideways
180F..18AF ; R ; R
18B0..18FF ; U ; U
1900..1BFB ; U ; R
1BFC..1BFF ; U ; R # :?:
1C00..1FFF ; U ; R
2000..2006 ; R ; R # Fixed-size spacing. Provide spacing in advance direction.
2007 ; R ; R # Should provide same advance as a digit, so match digits.
2008 ; R ; R # :?: Should match advance of comma/period.
2009..200A ; R ; R # Provide spacing in advance direction. Often used with e.g. dashes and guillmets.
200B..200F ; U ; R
2010..2011 ; R ; R # Hyphens are upright :?: UTR#50 has hyphens sideways
2012..2015 ; R ; R # Dashes are sideways
2016 ; U ; U # :?: Most modern fonts have rotated vert, but JIS0213 says U. [[http://www.unicode.org/forum/viewtopic.php?f=35&t=286|Taro wants R]]
2017 ; U ; R # Match LOW LINE?
2018..2019 ; U ; R # Quotation marks are upright in stacked mode, but need some shifting
201A ; U ; R # Quotation marks are upright in stacked mode
201B ; U ; R # Quotation marks are upright in stacked mode, but need some shifting
201C..201D ; U ; U # Quotation marks are upright in stacked mode, but need some shifting
201E ; U ; U # Quotation marks are upright in stacked mode
201F ; U ; U # Quotation marks are upright in stacked mode, but need some shifting
2020..2021 ; U ; U
2022..2023 ; U ; R # :?:
2024 ; R ; R # Leaders always parallel to inline direction
2025 ; U ; R # Leaders always parallel to inline direction
2026 ; U ; R # Ellipsis always parallel to inline direction
2027..202E ; U ; R
202F ; R ; R # Provide spacing in advance direction. Often used with e.g. dashes and guillmets.
2030..2031 ; U ; U
2032..2038 ; U ; R
2039..203A ; R ; R # [[http://lists.w3.org/Archives/Public/www-archive/2012Mar/0006.html|Guillmets are sideways to enclose text]]
203B..203C ; U ; U
203D ; U ; U # :?:
203E ; U ; R # Match LOW LINE
203F..2040 ; R ; R # Intended to link consecutive letters
2041 ; U ; R
2042 ; U ; U # :?: In JIS0213
2043 ; U ; R # Match hyphen
2044 ; U ; U # :?:  Precomposed fractions are upright
2045..2046 ; R ; R # Brackets are sideways to enclose their text
2047..2049 ; U ; U
204A ; U ; R # Used with Latin
204B ; U ; R # Match PILCROW
204C..204D ; U ; R
204E ; U ; R # Match asterisk
204F ; U ; R # Match semicolon
2050 ; U ; R # Copyediting symbol
2051 ; U ; U # :?: In JIS0213
2052 ; U ; R
2053 ; U ; R # Dashes are always sideways
2054 ; R ; R # Intended to link consecutive letters
2055..205E ; U ; R
205F ; R ; R # Provide spacing in advance direction. Often used with e.g. dashes and guillmets.
2060..2064 ; U ; R
2065..2069 ; U ; U
206A..207B ; U ; R
207C ; U ; R # :?: Relational operator
207D..207E ; U ; R # Brackets are sideways to enclose their text
207F..208B ; U ; R
208C ; U ; R # :?: Relational operator
208D..208E ; U ; R # Brackets are sideways to enclose their text
208F..20A8 ; U ; R
20A9 ; U ; R # Has fullwidth equivalent, and EAW=H.
20AA..20AB ; U ; R
20AC ; U ; R # EAW=A
20AD..20CF ; U ; R
20D0..20FF ; U ; U
2100..2101 ; U ; U # Same as c/o
2102 ; U ; U # Part of mathematical double-struck set
2103 ; U ; U # Combined symbol -> upright
2104 ; U ; U # Architectural symbol?
2105 ; U ; U # East Asian wants upright
2106 ; U ; U # Same as c/o
2107 ; U ; U # Match PLANCK CONSTANT
2108 ; U ; U # [[http://www.textcreationpartnership.org/docs/dox/medical.html|Apothecary measure]], keep consistent with digits and 'LATIN CAPITAL LETTER EZH' (U+01B7)
2109 ; U ; U # Combined symbol -> upright
210A..210B ; U ; U # Part of mathematical script set
210C ; U ; U # Match other math letters
210D ; U ; U # Part of mathematical double-struck set
210E ; U ; U # Part of mathematical italic set
210F ; U ; U # Match PLANCK CONSTANT
2110 ; U ; U # Part of mathematical script set
2111 ; U ; U # Match other math letters
2112 ; U ; U # Part of mathematical script set
2113 ; U ; U # EA compatibility unit is upright. Not unified with mathematical script l.
2114 ; U ; U # [[http://www.textcreationpartnership.org/docs/dox/medical.html|Apothecary measure]], keep consistent with digits and 'LATIN CAPITAL LETTER EZH' (U+01B7)
2115 ; U ; U # Part of mathematical double-struck set
2116 ; U ; U # East Asian wants upright
2117 ; U ; U # Keep COPYRIGHT, REGISTERED, and SOUND RECORDING COPYRIGHT consistent
2118 ; U ; R
2119..211A ; U ; U # Part of mathematical double-struck set
211B ; U ; U # Part of mathematical script set
211C ; U ; U # Match other math letters
211D ; U ; U # Part of mathematical double-struck set
211E ; U ; U
211F ; U ; U # [[http://forum.makemusic.com/default.aspx?f=5&m=326894|Musical symbol]]
2120 ; U ; U # Consistent with TRADE MARK
2121 ; U ; U # East Asian wants upright
2122 ; U ; U # Consistent with REGISTERED
2123 ; U ; U # [[http://forum.makemusic.com/default.aspx?f=5&m=326894|Musical symbol]]
2124 ; U ; U # Part of mathematical double-struck set
2125 ; U ; U # [[http://www.textcreationpartnership.org/docs/dox/medical.html|Apothecary measure]], keep consistent with digits and 'LATIN CAPITAL LETTER EZH' (U+01B7)
2126 ; U ; U # EA compatibility unit is upright. :?: NFC-folds to omega
2127 ; U ; U # Used for inverse of ohm. Keep consistent with U+2126
2128 ; U ; U # Match other math letters
2129 ; U ; U # Logic symbol, match math.
212A ; U ; U # EA compatibility unit is upright. :?: NFC-folds to K
212B ; U ; U # EA compatibility unit is upright. :?: NFC-folds to Aring
212C ; U ; U # Part of mathematical script set
212D ; U ; U # Match other math letters
212E ; U ; U # [[http://www.evertype.com/standards/euro/estimated/|used with package labelling]]
212F..2131 ; U ; U # Part of mathematical script set
2132 ; U ; U # [[http://en.wikipedia.org/wiki/Claudian_letters|Claudian]] must match Latin
2133..2134 ; U ; U # Part of mathematical script set
2135..2138 ; U ; U # Math symbol
2139 ; U ; U # Symbolic, not math
213A ; U ; U # [[http://blogs.msdn.com/b/michkap/archive/2005/01/10/349769.aspx|binding mark]], keep consistent with symbols U+203B, U+2720, U+2767
213B ; U ; U # Symbol; sensible to be upright
